Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Dual_Diagnosis,Dual_Diagnosis,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#DisorderCharacteristics
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Vandalism,Vandalism,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#AntisocialBehaviorandBehavioralDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Somatoform_Disorders,Somatoform_Disorders,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Emotional_Disturbances,Emotional_Disturbances,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Symptomology
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Drug_Induced_Hallucinations,Drug_Induced_Hallucinations,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Somatoform_Pain_Disorder,Somatoform_Pain_Disorder,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Alzheimer's_Disease,Alzheimer's_Disease,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PsychologicalDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Porphyria,Porphyria,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Harassment,Harassment,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#AntisocialBehaviorandBehavioralDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Nutritional_Deficiencies,Nutritional_Deficiencies,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Binge_Eating,Binge_Eating,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Symptomology
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Schizophrenia,Schizophrenia,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PsychologicalDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Pruritus,Pruritus,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Symptomology
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Disease_Course,Disease_Course,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#DisorderCharacteristics
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Myopia,Myopia,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Treatment_Resistant_Depression,Treatment_Resistant_Depression,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PsychologicalDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Personality_Change,Personality_Change,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Symptomology
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Respiratory_Distress,Respiratory_Distress,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Symptomology
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Savants,Savants,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#LearningDisordersMentalRetardation
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Toxicomania,Toxicomania,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Prosopagnosia,Prosopagnosia,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#SpeechLanguageDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Psychodiagnosis,Psychodiagnosis,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Diagnosis
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Pathological_Gambling,Pathological_Gambling,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#AntisocialBehaviorandBehavioralDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Metabolic_Syndrome,Metabolic_Syndrome,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Positive_and_Negative_Symptoms,Positive_and_Negative_Symptoms,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Symptomology
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Conduct_Disorder,Conduct_Disorder,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#AntisocialBehaviorandBehavioralDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Susceptibility_(Disorders),Susceptibility_(Disorders),,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#DisorderCharacteristics
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Syndromes,Syndromes,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PsychologicalDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Prognosis,Prognosis,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#DisorderCharacteristics
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Hypogonadism,Hypogonadism,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Fixation_(Psychological),Fixation_(Psychological),,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PsychologicalDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Body_Rocking,Body_Rocking,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Symptomology
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Child_Neglect,Child_Neglect,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#AntisocialBehaviorandBehavioralDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Diagnosis_Related_Groups,Diagnosis_Related_Groups,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Diagnosis
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#General_Health_Questionnaire,General_Health_Questionnaire,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Diagnosis
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Senile_Dementia,Senile_Dementia,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PsychologicalDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Behavior_Problems,Behavior_Problems,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#AntisocialBehaviorandBehavioralDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Communication_Disorders,Communication_Disorders,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#SpeechLanguageDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Sensory_Disabilities_(Attitudes_Toward),Sensory_Disabilities_(Attitudes_Toward),,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Incest,Incest,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#AntisocialBehaviorandBehavioralDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Cerebral_Ischemia,Cerebral_Ischemia,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abuse_of_Power,Abuse_of_Power,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#AntisocialBehaviorandBehavioralDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Shock,Shock,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Symptomology
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Symptom_Remission,Symptom_Remission,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#Symptomology
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Self_Inflicted_Wounds,Self_Inflicted_Wounds,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Crying_Cat_Syndrome,Crying_Cat_Syndrome,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Theft,Theft,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#AntisocialBehaviorandBehavioralDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Hemianopia,Hemianopia,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Coronary_Thromboses,Coronary_Thromboses,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Parkinson's_Disease,Parkinson's_Disease,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Specific_Language_Impairment,Specific_Language_Impairment,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#SpeechLanguageDisorders
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Alien_Limb_Syndrome,Alien_Limb_Syndrome,,,false,,,http://www.semanticweb.org/ontologies/2015/0/disorderscluster.owl#PhysicalPsychosomaticDisorders
